symbol,cvm_code,long_name,short_name,floatShares,website,sectorKey,sector,industry,country,fax,cep,CVM_CODE
AALR3.SA,"73    24058
Name: CD_CVM, dtype: int64",Alliança Saúde e Participações S.A.,ALLIAR      ON      NM,81795776.0,https://www.allianca.com,Healthcare,Healthcare,Diagnostics & Research,Brazil,,1830,24058.0
ABCB4.SA,"214    20958
Name: CD_CVM, dtype: int64",Banco ABC Brasil S.A.,ABC BRASIL  PN      N2,89992431.0,https://www.abcbrasil.com.br,Financial Services,Financial Services,Banks - Regional,Brazil,55 11 3170 2001,01453-000,20958.0
ABEV3.SA,"106    23264
107    23264
Name: CD_CVM, dtype: int64",Ambev S.A.,AMBEV S/A   ON  EDJ,4386116383.0,https://www.ambev.com.br,Consumer Defensive,Consumer Defensive,Beverages - Brewers,Brazil,,04530-001,23264.0
AERI3.SA,,Aeris Indústria e Comércio de Equipamentos para Geração de Energia S.A.,AERIS       ON      NM,15044206.0,https://www.aerisenergy.com.br,Industrials,Industrials,Specialty Industrial Machinery,Brazil,,61680-000,25283.0
AESB3.SA,,AES Brasil Energia S.A.,AES BRASIL  ON      NM,218721567.0,https://ri.aesbrasil.com.br,Utilities,Utilities,Utilities - Renewable,Brazil,,04578-000,25640.0
AFLT3.SA,,Afluente Transmissão de Energia Elétrica S.A.,AFLUENTE T  ON  EJ,835872.0,https://www.afluentet.com.br,Utilities,Utilities,Utilities - Regulated Electric,Brazil,,,22179.0
AGRO3.SA,,BrasilAgro - Companhia Brasileira de Propriedades Agrícolas,BRASILAGRO  ON      NM,45919621.0,https://ri.brasil-agro.com,Consumer Defensive,Consumer Defensive,Farm Products,Brazil,,01452-002,20036.0
AGXY3.SA,"49    25658
Name: CD_CVM, dtype: int64",AgroGalaxy Participações S.A.,AGROGALAXY  ON      NM,250555188.0,https://www.agrogalaxy.com.br,Basic Materials,Basic Materials,Agricultural Inputs,Brazil,,,25658.0
AHEB3.SA,"2192    9415
Name: CD_CVM, dtype: int64",São Paulo Turismo S.A.,SPTURIS     ON,277726.0,https://spturis.com,Consumer Cyclical,Consumer Cyclical,Travel Services,Brazil,,01014-908,9415.0
AHEB5.SA,"2192    9415
Name: CD_CVM, dtype: int64",São Paulo Turismo S.A.,SPTURIS     PNA,277726.0,https://spturis.com,Consumer Cyclical,Consumer Cyclical,Travel Services,Brazil,,01014-908,9415.0
AHEB6.SA,"2192    9415
Name: CD_CVM, dtype: int64",São Paulo Turismo S.A.,SPTURIS     PNB,277726.0,https://spturis.com,Consumer Cyclical,Consumer Cyclical,Travel Services,Brazil,,01014-908,9415.0
ALLD3.SA,"74    25330
75    25330
Name: CD_CVM, dtype: int64",Allied Tecnologia S.A.,ALLIED      ON      NM,18384833.0,https://alliedbrasil.com.br,Technology,Technology,Software - Application,Brazil,55 11 5503 9998,04578-911,25330.0
ALOS3.SA,"77    22357
78    22357
Name: CD_CVM, dtype: int64",Allos S.A.,ALLOS       ON  EJ  NM,384340091.0,https://allos.co,Real Estate,Real Estate,Real Estate Services,Brazil,,,22357.0
ALPA3.SA,"83    10456
84    10456
Name: CD_CVM, dtype: int64",Alpargatas S.A.,ALPARGATAS  ON      N1,186168909.0,https://www.alpargatas.com.br,Consumer Cyclical,Consumer Cyclical,Footwear & Accessories,Brazil,,04794-000,10456.0
ALPA4.SA,"83    10456
84    10456
Name: CD_CVM, dtype: int64",Alpargatas S.A.,ALPARGATAS  PN      N1,186168909.0,https://www.alpargatas.com.br,Consumer Cyclical,Consumer Cyclical,Footwear & Accessories,Brazil,,04794-000,10456.0
ALPK3.SA,"79    24953
80    24953
Name: CD_CVM, dtype: int64","Allpark Empreendimentos, Participações e Serviços S.A.",ESTAPAR     ON      NM,215773180.0,https://www.ri.estapar.com.br,Industrials,Industrials,Infrastructure Operations,Brazil,,,24953.0
ALUP11.SA,"96    21490
Name: CD_CVM, dtype: int64",Alupar Investimento S.A.,ALUPAR      UNT     N2,430334214.0,https://www.alupar.com.br,Utilities,Utilities,Utilities - Renewable,Brazil,55 11 4571 2472,04547-006,21490.0
ALUP3.SA,"96    21490
Name: CD_CVM, dtype: int64",Alupar Investimento S.A.,ALUPAR      ON      N2,430334214.0,https://www.alupar.com.br,Utilities,Utilities,Utilities - Renewable,Brazil,55 11 4571 2472,04547-006,21490.0
ALUP4.SA,"96    21490
Name: CD_CVM, dtype: int64",Alupar Investimento S.A.,ALUPAR      PN      N2,430334214.0,https://www.alupar.com.br,Utilities,Utilities,Utilities - Renewable,Brazil,55 11 4571 2472,04547-006,21490.0
AMAR3.SA,"1664    22055
Name: CD_CVM, dtype: int64",Marisa Lojas S.A.,LOJAS MARISAON      NM,40273660.0,https://www.marisa.com.br,Consumer Cyclical,Consumer Cyclical,Apparel Retail,Brazil,55 11 3392 4276,01138-909,22055.0
AMBP3.SA,"108    24961
109    24961
Name: CD_CVM, dtype: int64",Ambipar Participações e Empreendimentos S.A.,AMBIPAR     ON  ATZ NM,34648315.0,https://ambipar.com,Industrials,Industrials,Waste Management,Brazil,,01228-200,24961.0
AMER3.SA,"112    20990
Name: CD_CVM, dtype: int64",Americanas S.A.,AMERICANAS  ON      NM,191521295.0,https://ri.americanas.io,Consumer Cyclical,Consumer Cyclical,Internet Retail,Brazil,,20081-902,20990.0
ANIM3.SA,,Ânima Holding S.A.,ANIMA       ON      NM,237096962.0,https://animaeducacao.com.br,Consumer Defensive,Consumer Defensive,Education & Training Services,Brazil,,05443-001,23248.0
ARML3.SA,"153    26069
Name: CD_CVM, dtype: int64","Armac Locação, Logística e Serviços S.A.",ARMAC       ON      NM,172203479.0,https://armac.com.br,Industrials,Industrials,Rental & Leasing Services,Brazil,,06460-040,26069.0
ASAI3.SA,"2223    25372
Name: CD_CVM, dtype: int64",Sendas Distribuidora S.A.,ASSAI       ON      NM,1212594874.0,https://www.assai.com.br,Consumer Defensive,Consumer Defensive,Grocery Stores,Brazil,,22775-005,25372.0
ATMP3.SA,,ATMA Participações S.A.,ATMASA      ON,8619678.0,https://atmasa.com.br,Industrials,Industrials,Specialty Business Services,Brazil,,03040-010,19100.0
ATOM3.SA,"174    15423
Name: CD_CVM, dtype: int64",Atom Empreendimentos e Participações S.A.,ATOMPAR     ON  EC,6903140.0,https://www.atompar.com.br,Communication Services,Communication Services,Telecom Services,Brazil,,18046-640,15423.0
AURA33.SA,,Aura Minerals Inc.,AURA 360    DR3,30218166.0,https://www.auraminerals.com,Basic Materials,Basic Materials,Gold,United States,,33134,26590.0
AURE3.SA,"177    26620
Name: CD_CVM, dtype: int64",Auren Energia S.A.,AUREN       ON      NM,612450000.0,https://www.aurenenergia.com.br,Utilities,Utilities,Utilities - Renewable,Brazil,,05425-070,26620.0
AVLL3.SA,"87    25275
Name: CD_CVM, dtype: int64",Alphaville S.A.,ALPHAVILLE  ON      NM,121282205.0,https://www.alphaville.com.br,Real Estate,Real Estate,Real Estate - Development,Brazil,,,25275.0
AZEV3.SA,"197    27626
198    11975
Name: CD_CVM, dtype: int64",Azevedo & Travassos S.A.,AZEVEDO     ON,145314589.0,https://www.azevedotravassos.com.br,Industrials,Industrials,Engineering & Construction,Brazil,,,27626.0
AZEV4.SA,"197    27626
198    11975
Name: CD_CVM, dtype: int64",Azevedo & Travassos S.A.,AZEVEDO     PN,145314589.0,https://www.azevedotravassos.com.br,Industrials,Industrials,Engineering & Construction,Brazil,,,27626.0
AZUL4.SA,"199    24112
Name: CD_CVM, dtype: int64",Azul S.A.,AZUL        PN      N2,288715006.0,https://www.voeazul.com.br/ir,Industrials,Industrials,Airlines,Brazil,,,24112.0
AZZA3.SA,"200    22349
Name: CD_CVM, dtype: int64",Azzas 2154 S.A.,AZZAS 2154  ON      NM,87193357.0,https://ri.arezzoco.com.br,Consumer Cyclical,Consumer Cyclical,Footwear & Accessories,Brazil,,30112-000,22349.0
B3SA3.SA,,"B3 S.A. - Brasil, Bolsa, Balcão",B3          ON      NM,5576347222.0,https://www.b3.com.br,Financial Services,Financial Services,Financial Data & Stock Exchanges,Brazil,,18970-020,21610.0
BAHI3.SA,,Bahema Educação S.A.,BAHEMA      ON      MA,23804305.0,https://www.bahema.com.br,Consumer Defensive,Consumer Defensive,Education & Training Services,Brazil,,01451-918,701.0
BALM3.SA,"311    1562
Name: CD_CVM, dtype: int64",Baumer S.A.,BAUMER      ON  EJ,3485145.0,https://www.baumer.com.br,Healthcare,Healthcare,Medical Instruments & Supplies,Brazil,,01236-030,1562.0
BALM4.SA,"311    1562
Name: CD_CVM, dtype: int64",Baumer S.A.,BAUMER      PN  EJ,3485145.0,https://www.baumer.com.br,Healthcare,Healthcare,Medical Instruments & Supplies,Brazil,,01236-030,1562.0
BAUH4.SA,"1165    1570
Name: CD_CVM, dtype: int64",Excelsior Alimentos S.A.,EXCELSIOR   PN,1380912.0,https://www.excelsior.com.br,Consumer Defensive,Consumer Defensive,Packaged Foods,Brazil,,96830-504,1570.0
BAZA3.SA,"242    922
Name: CD_CVM, dtype: int64",Banco da Amazônia S.A.,AMAZONIA    ON,12105793.0,https://www.bancoamazonia.com.br,Financial Services,Financial Services,Banks - Regional,Brazil,,66010-000,922.0
BBAS3.SA,"246    1023
Name: CD_CVM, dtype: int64",Banco do Brasil S.A.,BRASIL      ON      NM,2584151280.0,https://www.bb.com.br,Financial Services,Financial Services,Banks - Regional,Brazil,,,1023.0
BBDC3.SA,"235    906
Name: CD_CVM, dtype: int64",Banco Bradesco S.A.,BRADESCO    ON      N1,7589878113.0,https://banco.bradesco,Financial Services,Financial Services,Banks - Regional,Brazil,,06029-900,906.0
BBDC4.SA,"235    906
Name: CD_CVM, dtype: int64",Banco Bradesco S.A.,BRADESCO    PN      N1,7589878113.0,https://banco.bradesco,Financial Services,Financial Services,Banks - Regional,Brazil,,06029-900,906.0
BBSE3.SA,"312    23159
Name: CD_CVM, dtype: int64",BB Seguridade Participações S.A.,BBSEGURIDADEON      NM,616190678.0,https://www.bbseguridaderi.com.br,Financial Services,Financial Services,Insurance - Diversified,Brazil,,,23159.0
BDLL3.SA,,Bardella S.A. Indústrias Mecânicas,BARDELLA    ON,763824.0,https://www.bardella.com.br,Industrials,Industrials,Specialty Industrial Machinery,Brazil,,1192-1324,1520.0
BDLL4.SA,,Bardella S.A. Indústrias Mecânicas,BARDELLA    PN,763824.0,https://www.bardella.com.br,Industrials,Industrials,Specialty Industrial Machinery,Brazil,,1192-1324,1520.0
BEEF3.SA,"1751    20931
Name: CD_CVM, dtype: int64",Minerva S.A.,MINERVA     ON      NM,266988202.0,https://ri.minervafoods.com,Consumer Defensive,Consumer Defensive,Farm Products,Brazil,55 17 3323 3041,14781-545,20931.0
BEES3.SA,,Banestes S.A - Banco do Estado do Espírito Santo,BANESTES    ON,23605009.0,https://www.ri.banestes.com.br,Financial Services,Financial Services,Banks - Regional,Brazil,55 27 3383 1531,29010-930,1155.0
BEES4.SA,,Banestes S.A - Banco do Estado do Espírito Santo,BANESTES    PN,23605009.0,https://www.ri.banestes.com.br,Financial Services,Financial Services,Banks - Regional,Brazil,55 27 3383 1531,29010-930,1155.0
BGIP3.SA,"250    1120
Name: CD_CVM, dtype: int64",Banco do Estado de Sergipe S.A.,BANESE      ON,2508535.0,https://www.banese.com.br,Financial Services,Financial Services,Banks - Regional,Brazil,,49040-840,1120.0
BGIP4.SA,"250    1120
Name: CD_CVM, dtype: int64",Banco do Estado de Sergipe S.A.,BANESE      PN,2508535.0,https://www.banese.com.br,Financial Services,Financial Services,Banks - Regional,Brazil,,49040-840,1120.0
BHIA3.SA,"1307    6505
1308    6505
Name: CD_CVM, dtype: int64",Grupo Casas Bahia S.A.,CASAS BAHIA ON      NM,90142617.0,https://www.grupocasasbahia.com.br,Consumer Cyclical,Consumer Cyclical,Specialty Retail,Brazil,,05425-070,6505.0
BIOM3.SA,"351    19305
Name: CD_CVM, dtype: int64",Biomm S.A.,BIOMM       ON      MA,53036228.0,https://www.biomm.com,Healthcare,Healthcare,Biotechnology,Brazil,,34018-000,19305.0
BLAU3.SA,"355    24627
Name: CD_CVM, dtype: int64",Blau Farmacêutica S.A.,BLAU        ON      NM,30218060.0,https://www.blau.com,Healthcare,Healthcare,Drug Manufacturers - Specialty & Generic,Brazil,55 11 4615 9401,06705-030,24627.0
BMEB3.SA,,Banco Mercantil do Brasil S.A.,MERCANTIL   ON  EJ  N1,36855362.0,https://www.bancomercantil.com.br,Financial Services,Financial Services,Banks - Regional,Brazil,,30160-041,1325.0
BMEB4.SA,,Banco Mercantil do Brasil S.A.,MERCANTIL   PN  EJ  N1,36855362.0,https://www.bancomercantil.com.br,Financial Services,Financial Services,Banks - Regional,Brazil,,30160-041,1325.0
BMGB4.SA,"229    24600
Name: CD_CVM, dtype: int64",Banco BMG S.A.,BANCO BMG   PN      N1,116454137.0,https://www.bancobmg.com.br,Financial Services,Financial Services,Banks - Regional,Brazil,,04543-900,24600.0
BMIN3.SA,"266    1309
Name: CD_CVM, dtype: int64",Banco Mercantil de Investimentos S.A.,MERC INVEST ON,360298.0,https://www.bancobmi.com.br,Financial Services,Financial Services,Banks - Regional,Brazil,,,1309.0
BMIN4.SA,"266    1309
Name: CD_CVM, dtype: int64",Banco Mercantil de Investimentos S.A.,MERC INVEST PN,360298.0,https://www.bancobmi.com.br,Financial Services,Financial Services,Banks - Regional,Brazil,,,1309.0
BMKS3.SA,"349    1694
Name: CD_CVM, dtype: int64",Bicicletas Monark S.A.,BIC MONARK  ON,114375.0,https://www.monark.com.br,Consumer Cyclical,Consumer Cyclical,Leisure,Brazil,,13347-370,1694.0
BMOB3.SA,"335    25500
Name: CD_CVM, dtype: int64",Bemobi Mobile Tech S.A.,BEMOBI TECH ON  EDJ NM,51835994.0,https://www.bemobi.com.br,Communication Services,Communication Services,Entertainment,Brazil,,,25500.0
BNBR3.SA,"254    1228
Name: CD_CVM, dtype: int64",Banco do Nordeste do Brasil S.A.,NORD BRASIL ON,38475032.0,https://www.bnb.gov.br,Financial Services,Financial Services,Banks - Regional,Brazil,,60743-902,1228.0
BOBR4.SA,"373    12190
Name: CD_CVM, dtype: int64",Bombril S.A.,BOMBRIL     PN,71001940.0,https://www.bombril.com.br,Consumer Defensive,Consumer Defensive,Household & Personal Products,Brazil,55 11 4366 1001,09696-000,12190.0
BPAC11.SA,"236    22616
Name: CD_CVM, dtype: int64",Banco BTG Pactual S.A.,BTGP BANCO  UNT EX  N2,3364839159.0,https://www.btgpactual.com.br,Financial Services,Financial Services,Capital Markets,Brazil,,,22616.0
BPAC3.SA,"236    22616
Name: CD_CVM, dtype: int64",Banco BTG Pactual S.A.,BTGP BANCO  ON  EJ  N2,3364839159.0,https://www.btgpactual.com.br,Financial Services,Financial Services,Capital Markets,Brazil,,,22616.0
BPAC5.SA,"236    22616
Name: CD_CVM, dtype: int64",Banco BTG Pactual S.A.,BTGP BANCO  PNA EJ  N2,3364839159.0,https://www.btgpactual.com.br,Financial Services,Financial Services,Capital Markets,Brazil,,,22616.0
BPAN4.SA,"271    21199
Name: CD_CVM, dtype: int64",Banco Pan S.A.,BANCO PAN   PN  EJ  N1,304538828.0,https://www.bancopan.com.br,Financial Services,Financial Services,Banks - Regional,Brazil,,,21199.0
BRAP3.SA,"403    18724
Name: CD_CVM, dtype: int64",Bradespar S.A.,BRADESPAR   ON  EJ  N1,303321206.0,https://www.bradespar.com.br,Financial Services,Financial Services,Asset Management,Brazil,,04543-011,18724.0
BRAP4.SA,"403    18724
Name: CD_CVM, dtype: int64",Bradespar S.A.,BRADESPAR   PN  EJ  N1,303321206.0,https://www.bradespar.com.br,Financial Services,Financial Services,Asset Management,Brazil,,04543-011,18724.0
BRAV3.SA,"433    25291
Name: CD_CVM, dtype: int64",Brava Energia S.A.,BRAVA       ON      NM,234204335.0,https://bravaenergia.com,Energy,Energy,Oil & Gas E&P,Brazil,,,25291.0
BRFS3.SA,"442    16292
Name: CD_CVM, dtype: int64",BRF S.A.,BRF SA      ON  EJ  NM,608504446.0,https://www.brf-global.com,Consumer Defensive,Consumer Defensive,Packaged Foods,Brazil,,04730-090,16292.0
BRIT3.SA,,Brisanet Participações S.A.,BRISANET    ON      NM,92104272.0,https://www.brisanet.com.br,Communication Services,Communication Services,Telecom Services,Brazil,,63460-000,27693.0
BRKM3.SA,"429    4820
Name: CD_CVM, dtype: int64",Braskem S.A.,BRASKEM     ON      N1,202817638.0,https://www.braskem.com.br,Basic Materials,Basic Materials,Chemicals,Brazil,55 11 3576 9532,05501-050,4820.0
BRKM5.SA,"429    4820
Name: CD_CVM, dtype: int64",Braskem S.A.,BRASKEM     PNA     N1,202817638.0,https://www.braskem.com.br,Basic Materials,Basic Materials,Chemicals,Brazil,55 11 3576 9532,05501-050,4820.0
BRKM6.SA,"429    4820
Name: CD_CVM, dtype: int64",Braskem S.A.,BRASKEM     PNB     N1,202817638.0,https://www.braskem.com.br,Basic Materials,Basic Materials,Chemicals,Brazil,55 11 3576 9532,05501-050,4820.0
BRSR3.SA,"253    1210
Name: CD_CVM, dtype: int64",Banco do Estado do Rio Grande do Sul S.A.,BANRISUL    ON  EJ  N1,206986073.0,https://www.banrisul.com.br,Financial Services,Financial Services,Banks - Regional,Brazil,,,1210.0
BRSR5.SA,"253    1210
Name: CD_CVM, dtype: int64",Banco do Estado do Rio Grande do Sul S.A.,BANRISUL    PNA EJ  N1,206986073.0,https://www.banrisul.com.br,Financial Services,Financial Services,Banks - Regional,Brazil,,,1210.0
BRSR6.SA,"253    1210
Name: CD_CVM, dtype: int64",Banco do Estado do Rio Grande do Sul S.A.,BANRISUL    PNB EJ  N1,206986073.0,https://www.banrisul.com.br,Financial Services,Financial Services,Banks - Regional,Brazil,,,1210.0
BSLI3.SA,,BRB - Banco de Brasília S.A.,BRB BANCO   ON  ED,93266646.0,https://novo.brb.com.br,Financial Services,Financial Services,Banks - Regional,Brazil,,70040-250,14206.0
BSLI4.SA,,BRB - Banco de Brasília S.A.,BRB BANCO   PN  ED,93266646.0,https://novo.brb.com.br,Financial Services,Financial Services,Banks - Regional,Brazil,,70040-250,14206.0
CALI3.SA,"902    4723
Name: CD_CVM, dtype: int64",Construtora Adolpho Lindenberg S.A.,CONST A LINDON,3494438.0,https://www.lindenberg.com.br,Industrials,Industrials,Engineering & Construction,Brazil,,04534-002,4723.0
CAMB3.SA,"503    2100
Name: CD_CVM, dtype: int64",Cambuci S.A.,CAMBUCI     ON,15726913.0,https://www.cambuci.com.br,Consumer Cyclical,Consumer Cyclical,Leisure,Brazil,55 11 4713 9568,18130-430,2100.0
CAML3.SA,"504    24228
Name: CD_CVM, dtype: int64",Camil Alimentos S.A.,CAMIL       ON      NM,144337935.0,https://www.camil.com.br,Consumer Defensive,Consumer Defensive,Packaged Foods,Brazil,,05425-070,24228.0
CASH3.SA,,Méliuz S.A.,MELIUZ      ON      NM,67600637.0,https://www.meliuz.com.br,Communication Services,Communication Services,Internet Content & Information,Brazil,,,25232.0
CBAV3.SA,,Companhia Brasileira de Alumínio,CBA         ON      NM,204462870.0,https://www.cba.com.br,Basic Materials,Basic Materials,Aluminum,Brazil,,,25984.0
CBEE3.SA,"117    3050
Name: CD_CVM, dtype: int64",Ampla Energia e Serviços S.A.,AMPLA ENERG ON,40817640.0,,Utilities,Utilities,Utilities - Regulated Electric,Brazil,,20220-297,3050.0
CCRO3.SA,"538    18821
Name: CD_CVM, dtype: int64",CCR S.A.,CCR SA      ON      NM,1205161648.0,https://www.ccr.com.br,Industrials,Industrials,Infrastructure Operations,Brazil,,04551-06,18821.0
CEAB3.SA,"483    24848
Name: CD_CVM, dtype: int64",C&A Modas S.A.,CEA MODAS   ON      NM,101340475.0,https://www.cea.com.br,Consumer Cyclical,Consumer Cyclical,Specialty Retail,Brazil,,06455-000,24848.0
CEBR3.SA,"814    14451
Name: CD_CVM, dtype: int64",Companhia Energética de Brasília - CEB,CEB         ON,18721836.0,https://www.ceb.com.br,Utilities,Utilities,Utilities - Regulated Electric,Brazil,,70830-010,14451.0
CEBR5.SA,"814    14451
Name: CD_CVM, dtype: int64",Companhia Energética de Brasília - CEB,CEB         PNA,18721836.0,https://www.ceb.com.br,Utilities,Utilities,Utilities - Regulated Electric,Brazil,,70830-010,14451.0
CEBR6.SA,"814    14451
Name: CD_CVM, dtype: int64",Companhia Energética de Brasília - CEB,CEB         PNB,18721836.0,https://www.ceb.com.br,Utilities,Utilities,Utilities - Regulated Electric,Brazil,,70830-010,14451.0
CEDO3.SA,,Companhia de Fiação e Tecidos Cedro e Cachoeira S.A.,CEDRO       ON      N1,3597000.0,https://www.cedro.com.br,Consumer Cyclical,Consumer Cyclical,Textile Manufacturing,Brazil,,30130-140,3077.0
CEDO4.SA,,Companhia de Fiação e Tecidos Cedro e Cachoeira S.A.,CEDRO       PN      N1,3597000.0,https://www.cedro.com.br,Consumer Cyclical,Consumer Cyclical,Textile Manufacturing,Brazil,,30130-140,3077.0
CEEB3.SA,,Companhia de Eletricidade do Estado da Bahia - COELBA,COELBA      ON  EJ,2670759.0,https://www.coelba.com.br,Utilities,Utilities,Utilities - Regulated Electric,Brazil,,41181-900,14524.0
CEEB5.SA,,Companhia de Eletricidade do Estado da Bahia - COELBA,COELBA      PNA EJ,2670759.0,https://www.coelba.com.br,Utilities,Utilities,Utilities - Regulated Electric,Brazil,,41181-900,14524.0
CEED3.SA,,Companhia Estadual de Distribuição de Energia Elétrica,"CEEE,D      ON",178828.0,https://www.ceee.com.br,Utilities,Utilities,Utilities - Regulated Electric,Brazil,,,20648.0
CEED4.SA,,Companhia Estadual de Distribuição de Energia Elétrica,"CEEE,D      PN",178828.0,https://www.ceee.com.br,Utilities,Utilities,Utilities - Regulated Electric,Brazil,,,20648.0
CEGR3.SA,,Companhia Distribuidora de Gás do Rio de Janeiro - CEG,CEG         ON  EJ,11825971.0,https://www.naturgy.com.br,Utilities,Utilities,Utilities - Regulated Gas,Brazil,,22640-907,16616.0
CGAS3.SA,"805    15636
806    15636
Name: CD_CVM, dtype: int64",Companhia de Gás de São Paulo - COMGÁS,COMGAS      ON,24499157.0,https://www.comgas.com.br,Utilities,Utilities,Utilities - Regulated Gas,Brazil,,04538-132,15636.0
CGAS5.SA,"805    15636
806    15636
Name: CD_CVM, dtype: int64",Companhia de Gás de São Paulo - COMGÁS,COMGAS      PNA,24499157.0,https://www.comgas.com.br,Utilities,Utilities,Utilities - Regulated Gas,Brazil,,04538-132,15636.0
CGRA3.SA,"1304    4537
Name: CD_CVM, dtype: int64",Grazziotin S.A.,GRAZZIOTIN  ON  EJ,11032987.0,https://www.grazziotin.com.br,Consumer Cyclical,Consumer Cyclical,Department Stores,Brazil,,99060-030,4537.0
CGRA4.SA,"1304    4537
Name: CD_CVM, dtype: int64",Grazziotin S.A.,GRAZZIOTIN  PN  EJ,11032987.0,https://www.grazziotin.com.br,Consumer Cyclical,Consumer Cyclical,Department Stores,Brazil,,99060-030,4537.0
CLSA3.SA,,ClearSale S.A.,CLEARSALE   ON      NM,56736447.0,https://br.clear.sale,Technology,Technology,Software - Infrastructure,Brazil,,06460-040,26093.0
CLSC3.SA,,Centrais Elétricas de Santa Catarina S.A.,CELESC      ON  EJ  N2,15101935.0,https://www.celesc.com.br,Utilities,Utilities,Utilities - Regulated Electric,Brazil,,,2461.0
CLSC4.SA,,Centrais Elétricas de Santa Catarina S.A.,CELESC      PN  EJ  N2,15101935.0,https://www.celesc.com.br,Utilities,Utilities,Utilities - Regulated Electric,Brazil,,,2461.0
CMIG3.SA,,Companhia Energética de Minas Gerais - CEMIG,CEMIG       ON  EJ  N1,2326746841.0,https://www.cemig.com.br,Utilities,Utilities,Utilities - Diversified,Brazil,,30190-131,2453.0
CMIG4.SA,,Companhia Energética de Minas Gerais - CEMIG,CEMIG       PN  EJ  N1,2326746841.0,https://www.cemig.com.br,Utilities,Utilities,Utilities - Diversified,Brazil,,30190-131,2453.0
